"","player","team","gp","pim_60","ev_goals_60","ev_assists_60","shot_att_60","shot_pct","thru_pct","ev_60","toi_even","blk_60","hit_60","cf_60","ca_60","corsi_pct","oishot_pct","oisv_pct","off_zs_pct","takeaway_60","giveaway_60","cluster","defense","offense","scoring"
"138","Kris Letang","PIT",61,1.45315487571702,0.442992110912099,0.984426913137997,13.0019120458891,8.5,52.1,46.6150414276609,19.9833333333333,3.47992351816444,3.8623326959847,59.8531563187902,55.8170059749245,51.7,9.5,89.5,50.8,1.18546845124283,3.05927342256214,"Norris Candidate",2.44196450755223,6.99185397752343,6.12441946887088
"139","Kris Russell","EDM",55,0.910075839653304,0,0.606060606060606,5.33044420368364,0,54.9,51.4842903575298,14.4,6.56554712892741,4.61538461538461,42.8030303030303,56.3636363636364,43.2,6.6,93.7,43.5,2.01516793066089,2.47020585048754,"Bottom Pair Player",-5.83233083746784,-3.556634520249,-3.98657953000559
"140","Kurtis MacDermid","LAK",45,4.57050243111831,0.319148936170213,0.425531914893617,10.5024311183144,5.9,47.2,54.8460291734198,12.5333333333333,4.18152350081037,9.23824959481361,57.7659574468085,55.7446808510638,50.9,5.1,90.6,57.8,0.486223662884927,2.52836304700162,"Stay-at-Home Defender",2.25242268185117,-4.10195263972647,-1.29902042857569
"141","Kyle Capobianco","ARI",9,0.902255639097744,0.483675937122128,0,8.57142857142857,10,52.6,55.9624060150376,13.7833333333333,4.51127819548872,6.31578947368421,54.6553808948005,56.590084643289,49.1,6.9,91.8,44.6,0.451127819548872,1.80451127819549,"Stay-at-Home Defender",-0.402903029423822,-2.91183879089473,1.21337896577387
"142","Lawrence Pilut","BUF",13,1.13744075829384,0,0,4.83412322274881,0,35.3,54.3412322274881,14.7,5.40284360189573,2.8436018957346,34.2229199372057,46.7817896389325,42.2,5.2,91.7,46.2,0.568720379146919,1.13744075829384,"Healthy Scratch",-2.45192721484525,-7.77485283041284,-8.14738791816879
"143","Libor Hajek","NYR",28,1.60714285714286,0,0.718276137270551,6.42857142857143,0,47.9,55.9375,14.9166666666667,5.89285714285714,3.21428571428571,43.6711891460495,70.6783719074222,38.2,9.7,91.5,42.7,1.07142857142857,2.27678571428571,"Bottom Pair Player",-7.79631806545309,-3.54400400742821,-4.39380009966276
"144","Luca Sbisa","WPG",44,2.81368821292776,0.171526586620926,0.686106346483705,7.52851711026616,4.1,49.5,53.2015209125475,15.9,5.39923954372624,6.92015209125475,49.9142367066895,58.5763293310463,46,9.3,91.5,50.4,0.304182509505703,1.97718631178707,"Bottom Pair Player",-3.13524110984963,-3.24895138655768,-1.2995160107034
"145","Luke Schenn","TBL",25,4.43729903536977,0.223950233281493,0.447900466562986,10.8038585209003,3.2,55.4,51.6881028938907,10.7166666666667,4.05144694533762,16.0128617363344,55.3157076205288,61.3623639191291,47.4,7.5,87.7,50,0.964630225080386,1.92926045016077,"Stay-at-Home Defender",-1.06809338948658,-5.41292347067153,-1.33672364935851
"146","MacKenzie Weegar","FLA",45,2.1878453038674,0.525328330206379,0.825515947467167,8.75138121546961,9.1,58.3,53.0055248618785,17.7666666666667,4.70718232044199,5.03867403314917,53.7335834896811,50.2063789868668,51.7,10.3,89.9,46.4,1.65745856353591,2.51933701657459,"Forward Playing Defense",0.569958507789405,2.58344152535011,5.71478073581927
"147","Madison Bowey","DET",53,2.14963119072708,0.216550037094219,0.93838349407495,8.40885142255005,4.3,52.6,52.5532139093783,15.6833333333333,3.66701791359326,3.3508956796628,45.6198744811822,57.3857598299681,44.3,9.6,88.6,50.4,0.885142255005269,2.84510010537408,"Forward Playing Defense",-0.79018866757538,0.221397415011413,0.588676952362528
"148","Marc Staal","NYR",52,1.04689203925845,0.155749762048975,0.700873929220386,5.69247546346783,4.3,52.9,50.412213740458,14.8166666666667,4.97273718647764,4.51472191930207,50.9301721900147,66.7387730379856,43.3,8.8,93.4,47.1,1.24318429661941,2.22464558342421,"Bottom Pair Player",-5.01375673128709,-1.35147515487944,-0.673836982981721
"149","Marc-Edouard Vlasic","SJS",70,0.422237860661506,0.206126538791869,0.515316346979674,8.44475721323012,6.8,37,49.1625615763547,16.6333333333333,4.09570724841661,1.56228008444757,55.0357858574291,56.890924706556,49.2,8.6,89.9,47.8,0.760028149190711,1.68895144264602,"Forward Playing Defense",0.475981102810724,1.64580480247865,-0.129931422832016
"150","Marco Scandella","TOT",62,1.10091743119266,0.249739854318418,0.561914672216441,9.41284403669725,5.2,45,52.8990825688073,15.5,3.30275229357798,4.29357798165138,54.1311134235172,50.4474505723205,51.8,10.1,92.5,50.2,0.990825688073395,2.69724770642202,"Two-Way Player",2.02120853245425,0.519103844238289,0.519455080622286
"151","Marcus Pettersson","PIT",69,1.56833457804332,0.101210306582887,0.910892759245983,8.64824495892457,2.5,40.9,53.1284540702016,17.1833333333333,3.76400298730396,4.74981329350261,55.6656686205879,51.0099945177751,52.2,9.7,90.8,52.9,0.761762509335325,1.70276325616131,"Two-Way Player",2.02871231558862,0.272870082765293,-1.13717479733055
"152","Mario Ferraro","SJS",61,1.85758513931889,0.137567350682105,0.550269402728419,8.85448916408669,3.2,44.1,54.0123839009288,14.3,3.59133126934985,7.43034055727554,52.1380259085177,54.1327524934082,49.1,7.9,88.3,47.2,0.928792569659443,1.23839009287926,"Stay-at-Home Defender",0.864338551996301,-2.56577568362253,-2.09440688920855
"153","Mark Barberio","COL",21,3.24324324324324,0,0.447594181275643,9.32432432432432,0,63,54.3445945945946,12.7666666666667,3.85135135135135,2.63513513513514,59.9776202909362,59.7538232002984,50.1,8.7,93.5,35.7,1.21621621621622,2.63513513513514,"Bottom Pair Player",-3.96406686014769,-2.48182581768825,-1.71379717430219
"154","Mark Borowiecki","OTT",53,3.65930599369085,0.440115734137495,0.806878845918742,7.38170347003155,11.1,53.8,51.6067297581493,15.4333333333333,7.57097791798107,12.5552050473186,50.7600146705245,64.1101919393618,44.2,9.6,90.7,38.5,0.630914826498423,1.89274447949527,"Bottom Pair Player",-8.14357581945334,-3.48511794343243,2.89092110267572
"155","Mark Giordano","CGY",60,1.42358688066992,0.164684354986276,0.823421774931381,14.612700628053,3.2,45,45.7641311933008,18.2166666666667,6.19678995115143,1.75854849965108,60.9332113449222,55.224153705398,52.5,8.7,91.3,49,1.50732728541521,2.13538032100488,"Forward Playing Defense",0.437962699303423,5.00601248745752,1.4225379628397
"156","Mark Pysyk","FLA",58,1.62162162162162,0.7705112960761,0.7705112960761,8.51351351351351,14.1,61.9,56.8243243243243,12.0833333333333,3.08108108108108,3.81081081081081,49.3983353151011,61.640903686088,44.5,9.8,92,33.4,2.10810810810811,1.21621621621622,"Forward Playing Defense",-1.9423707760047,0.287552196242114,8.14817556238237
"157","Markus Nutivaara","CBJ",37,0.407470288624788,0.317273795534665,0.528789659224442,9.06621392190153,6.4,52.8,57.7928692699491,15.3333333333333,3.3616298811545,3.56536502546689,55.2056404230317,56.5804935370153,49.4,6.3,93.7,57.8,0.611205432937182,1.32427843803056,"Two-Way Player",3.19417462249618,-1.35499714947333,0.297106950980659
"158","Martin Marincin","TOR",26,2.12658227848101,0.170940170940171,0.512820512820513,10.7848101265823,3.6,39.4,53.3164556962025,13.5,6.53164556962025,3.34177215189873,60.3418803418803,57.4358974358974,51.2,8.9,89.5,44.5,1.36708860759494,3.34177215189873,"Forward Playing Defense",-1.38487560677471,0.600588908478279,-1.89112632962907
